name,n_runs,mean,median,std,best,worst
baseline,30,746.7760,754.7438,137.5306,1093.8223,472.5195
cmaes_baseline,30,809.4130,819.8233,101.4062,1136.1875,517.5668
cpg_baseline,30,889.3131,862.4808,110.5667,1286.1075,743.0841
cpg_hill,30,595.0309,571.4789,171.9543,994.2309,222.0747
cpg_mixed,30,719.1795,745.9785,65.8234,784.2054,521.0591
cpgnn_2x_budget,30,1190.9979,1223.2133,198.7634,1613.3567,880.5674
cpgnn_flat,30,948.7878,926.2147,100.2415,1251.2414,813.9804
cpgnn_frozen,30,1024.2051,995.4530,173.7584,1439.8771,739.9262
cpgnn_high_mutation,30,992.5121,959.5885,171.5311,1455.2254,768.4460
cpgnn_mixed,30,701.2512,737.6164,128.2238,1070.9960,358.0198
cpgnn_random_init,30,889.2393,846.3267,270.0361,1369.6583,505.1097
crossover_high,30,796.2368,791.1709,112.5886,1007.0639,532.9878
de_baseline,30,684.7834,658.6672,96.9259,918.8007,526.0097
mutation_high,30,817.0013,806.9544,95.2043,1072.2127,624.3601
pso_baseline,30,772.4989,779.2587,119.5253,1067.6527,486.8706
random_search,30,613.7649,617.8076,73.4569,742.1052,497.9564
rank_selection,30,782.9603,796.2367,121.5553,1177.7978,571.5818
roulette_selection,30,789.6147,805.4535,101.8954,955.9233,572.3470
