controller,push,magnitude,survived,total,survival_rate,mean_pre_vel,mean_post_vel,mean_recovery_time
sine,gentle,500,30,30,1.0000,0.21,2.50,0.0714
sine,moderate,1500,30,30,1.0000,-1.13,-1.99,0.1333
sine,strong,3000,30,30,1.0000,-3.13,-0.81,0.3091
sine,violent,5000,30,30,1.0000,-5.79,8.00,0.5687
cpg,gentle,500,30,30,1.0000,58.35,21.33,0.3897
cpg,moderate,1500,30,30,1.0000,57.02,24.82,0.4741
cpg,strong,3000,30,30,1.0000,55.02,16.46,0.3833
cpg,violent,5000,30,30,1.0000,52.35,13.96,0.6247
cpgnn_flat,gentle,500,29,30,0.9667,7.40,10.36,0.0608
cpgnn_flat,moderate,1500,29,30,0.9667,6.07,3.11,0.1255
cpgnn_flat,strong,3000,30,30,1.0000,4.07,-2.70,0.2156
cpgnn_flat,violent,5000,28,30,0.9333,1.40,12.57,0.4156
cpgnn_mixed,gentle,500,30,30,1.0000,12.51,2.23,0.1238
cpgnn_mixed,moderate,1500,30,30,1.0000,11.18,2.30,0.2246
cpgnn_mixed,strong,3000,30,30,1.0000,9.18,7.79,0.3939
cpgnn_mixed,violent,5000,30,30,1.0000,6.51,5.42,0.4148
